path,id,faces,det_score,bbox_frac,yaw_proxy
data/raw/ABHAY/ABHAY_4.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_12.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_8.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_9.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_13.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_5.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_14.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_2.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_3.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_1.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_6.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_10.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_11.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ABHAY/ABHAY_7.jpeg,ABHAY,0,0.0,0.0,0.0
data/raw/ANR/ANR_49.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_148.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_174.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_75.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_160.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_61.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_438.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_376.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_410.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_404.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_362.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_389.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_202.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_216.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_217.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_203.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_388.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_405.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_363.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_377.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_411.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_439.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_60.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_161.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_74.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_175.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_149.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_48.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_62.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_163.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_76.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_177.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_188.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_89.jpg,ANR,0,0.0,0.0,0.0
data/raw/ANR/ANR_349.jpg,ANR,0,0.0,0.0,0.0
