path,id,width,height,mode,filesize
data/raw/ABHAY/ABHAY_4.jpeg,ABHAY,64,64,RGB,2250
data/raw/ABHAY/ABHAY_12.jpeg,ABHAY,371,371,RGB,40563
data/raw/ABHAY/ABHAY_8.jpeg,ABHAY,261,261,RGB,25988
data/raw/ABHAY/ABHAY_9.jpeg,ABHAY,201,201,RGB,18933
data/raw/ABHAY/ABHAY_13.jpeg,ABHAY,215,215,RGB,19751
data/raw/ABHAY/ABHAY_5.jpeg,ABHAY,282,282,RGB,27107
data/raw/ABHAY/ABHAY_14.jpeg,ABHAY,381,381,RGB,36846
data/raw/ABHAY/ABHAY_2.jpeg,ABHAY,378,378,RGB,35114
data/raw/ABHAY/ABHAY_3.jpeg,ABHAY,187,187,RGB,11781
data/raw/ABHAY/ABHAY_1.jpeg,ABHAY,180,180,RGB,16426
data/raw/ABHAY/ABHAY_6.jpeg,ABHAY,277,277,RGB,25741
data/raw/ABHAY/ABHAY_10.jpeg,ABHAY,254,254,RGB,19655
data/raw/ABHAY/ABHAY_11.jpeg,ABHAY,294,294,RGB,22156
data/raw/ABHAY/ABHAY_7.jpeg,ABHAY,286,286,RGB,29954
data/raw/ANR/ANR_49.jpg,ANR,41,63,RGB,1196
data/raw/ANR/ANR_148.jpg,ANR,84,94,RGB,1864
data/raw/ANR/ANR_174.jpg,ANR,146,194,RGB,3783
data/raw/ANR/ANR_75.jpg,ANR,72,68,RGB,1495
data/raw/ANR/ANR_160.jpg,ANR,48,58,RGB,1161
data/raw/ANR/ANR_61.jpg,ANR,47,52,RGB,1193
data/raw/ANR/ANR_438.jpg,ANR,78,128,RGB,1771
data/raw/ANR/ANR_376.jpg,ANR,130,172,RGB,2202
data/raw/ANR/ANR_410.jpg,ANR,44,54,RGB,1031
data/raw/ANR/ANR_404.jpg,ANR,143,139,RGB,2106
data/raw/ANR/ANR_362.jpg,ANR,96,126,RGB,2006
data/raw/ANR/ANR_389.jpg,ANR,90,106,RGB,1596
data/raw/ANR/ANR_202.jpg,ANR,93,111,RGB,1960
data/raw/ANR/ANR_216.jpg,ANR,149,211,RGB,4802
data/raw/ANR/ANR_217.jpg,ANR,153,207,RGB,4641
data/raw/ANR/ANR_203.jpg,ANR,53,72,RGB,1209
data/raw/ANR/ANR_388.jpg,ANR,75,97,RGB,1439
data/raw/ANR/ANR_405.jpg,ANR,135,151,RGB,2240
data/raw/ANR/ANR_363.jpg,ANR,91,111,RGB,1761
data/raw/ANR/ANR_377.jpg,ANR,130,155,RGB,2102
data/raw/ANR/ANR_411.jpg,ANR,38,48,RGB,867
data/raw/ANR/ANR_439.jpg,ANR,91,129,RGB,1982
data/raw/ANR/ANR_60.jpg,ANR,45,50,RGB,1107
data/raw/ANR/ANR_161.jpg,ANR,51,58,RGB,1298
data/raw/ANR/ANR_74.jpg,ANR,80,73,RGB,1650
data/raw/ANR/ANR_175.jpg,ANR,72,108,RGB,1628
data/raw/ANR/ANR_149.jpg,ANR,75,93,RGB,1705
data/raw/ANR/ANR_48.jpg,ANR,56,64,RGB,1287
data/raw/ANR/ANR_62.jpg,ANR,49,58,RGB,1128
data/raw/ANR/ANR_163.jpg,ANR,87,79,RGB,1610
data/raw/ANR/ANR_76.jpg,ANR,62,68,RGB,1358
data/raw/ANR/ANR_177.jpg,ANR,68,84,RGB,1613
data/raw/ANR/ANR_188.jpg,ANR,93,115,RGB,1986
data/raw/ANR/ANR_89.jpg,ANR,153,141,RGB,3430
data/raw/ANR/ANR_349.jpg,ANR,73,87,RGB,1305
data/raw/ANR/ANR_361.jpg,ANR,106,137,RGB,2406
data/raw/ANR/ANR_407.jpg,ANR,68,76,RGB,1402
data/raw/ANR/ANR_413.jpg,ANR,42,43,RGB,921
data/raw/ANR/ANR_375.jpg,ANR,58,78,RGB,1121
data/raw/ANR/ANR_229.jpg,ANR,18,26,RGB,760
data/raw/ANR/ANR_215.jpg,ANR,160,200,RGB,4410
data/raw/ANR/ANR_201.jpg,ANR,60,151,RGB,1981
data/raw/ANR/ANR_200.jpg,ANR,77,129,RGB,1956
data/raw/ANR/ANR_214.jpg,ANR,154,206,RGB,4546
data/raw/ANR/ANR_228.jpg,ANR,18,34,RGB,790
data/raw/ANR/ANR_412.jpg,ANR,39,48,RGB,893
data/raw/ANR/ANR_374.jpg,ANR,57,88,RGB,1234
data/raw/ANR/ANR_360.jpg,ANR,137,156,RGB,2646
data/raw/ANR/ANR_406.jpg,ANR,53,51,RGB,1120
data/raw/ANR/ANR_348.jpg,ANR,66,93,RGB,1296
data/raw/ANR/ANR_88.jpg,ANR,91,107,RGB,1848
data/raw/ANR/ANR_189.jpg,ANR,109,140,RGB,2454
data/raw/ANR/ANR_176.jpg,ANR,34,69,RGB,1099
data/raw/ANR/ANR_77.jpg,ANR,62,62,RGB,1349
data/raw/ANR/ANR_162.jpg,ANR,192,253,RGB,4673
data/raw/ANR/ANR_63.jpg,ANR,52,49,RGB,1256
data/raw/ANR/ANR_67.jpg,ANR,60,54,RGB,1191
data/raw/ANR/ANR_166.jpg,ANR,57,59,RGB,1330
data/raw/ANR/ANR_73.jpg,ANR,60,73,RGB,1465
data/raw/ANR/ANR_172.jpg,ANR,58,85,RGB,1279
data/raw/ANR/ANR_199.jpg,ANR,214,260,RGB,5986
data/raw/ANR/ANR_98.jpg,ANR,59,81,RGB,1533
data/raw/ANR/ANR_402.jpg,ANR,106,114,RGB,2045
data/raw/ANR/ANR_364.jpg,ANR,58,83,RGB,1350
data/raw/ANR/ANR_370.jpg,ANR,70,90,RGB,1354
data/raw/ANR/ANR_416.jpg,ANR,33,43,RGB,844
data/raw/ANR/ANR_358.jpg,ANR,91,102,RGB,1754
data/raw/ANR/ANR_210.jpg,ANR,152,196,RGB,3871
data/raw/ANR/ANR_204.jpg,ANR,82,88,RGB,1508
data/raw/ANR/ANR_238.jpg,ANR,32,36,RGB,878
data/raw/ANR/ANR_239.jpg,ANR,36,40,RGB,922
data/raw/ANR/ANR_205.jpg,ANR,100,120,RGB,2033
data/raw/ANR/ANR_211.jpg,ANR,163,219,RGB,4762
data/raw/ANR/ANR_359.jpg,ANR,70,86,RGB,1440
data/raw/ANR/ANR_371.jpg,ANR,45,66,RGB,944
data/raw/ANR/ANR_417.jpg,ANR,131,149,RGB,2597
data/raw/ANR/ANR_403.jpg,ANR,131,142,RGB,2059
data/raw/ANR/ANR_365.jpg,ANR,96,122,RGB,1762
data/raw/ANR/ANR_99.jpg,ANR,33,33,RGB,928
data/raw/ANR/ANR_198.jpg,ANR,97,138,RGB,2366
data/raw/ANR/ANR_173.jpg,ANR,124,145,RGB,2812
data/raw/ANR/ANR_72.jpg,ANR,72,72,RGB,1500
data/raw/ANR/ANR_167.jpg,ANR,90,62,RGB,1383
data/raw/ANR/ANR_66.jpg,ANR,27,29,RGB,849
data/raw/ANR/ANR_171.jpg,ANR,80,63,RGB,1037
data/raw/ANR/ANR_70.jpg,ANR,67,71,RGB,1490
data/raw/ANR/ANR_165.jpg,ANR,91,101,RGB,1980
data/raw/ANR/ANR_64.jpg,ANR,38,50,RGB,1013
data/raw/ANR/ANR_58.jpg,ANR,32,24,RGB,822
data/raw/ANR/ANR_159.jpg,ANR,88,84,RGB,1718
data/raw/ANR/ANR_415.jpg,ANR,47,61,RGB,1064
data/raw/ANR/ANR_373.jpg,ANR,81,85,RGB,1430
data/raw/ANR/ANR_367.jpg,ANR,71,77,RGB,1343
data/raw/ANR/ANR_401.jpg,ANR,49,63,RGB,1088
data/raw/ANR/ANR_429.jpg,ANR,118,111,RGB,1593
data/raw/ANR/ANR_398.jpg,ANR,105,116,RGB,1855
data/raw/ANR/ANR_207.jpg,ANR,93,109,RGB,1745
data/raw/ANR/ANR_213.jpg,ANR,359,457,RGB,13126
data/raw/ANR/ANR_212.jpg,ANR,172,223,RGB,5114
data/raw/ANR/ANR_206.jpg,ANR,102,134,RGB,2233
data/raw/ANR/ANR_399.jpg,ANR,111,150,RGB,2101
data/raw/ANR/ANR_428.jpg,ANR,111,132,RGB,1797
data/raw/ANR/ANR_366.jpg,ANR,68,62,RGB,1358
data/raw/ANR/ANR_400.jpg,ANR,52,62,RGB,1037
data/raw/ANR/ANR_414.jpg,ANR,43,53,RGB,996
data/raw/ANR/ANR_372.jpg,ANR,52,64,RGB,1015
data/raw/ANR/ANR_158.jpg,ANR,81,90,RGB,1903
data/raw/ANR/ANR_59.jpg,ANR,30,31,RGB,880
data/raw/ANR/ANR_65.jpg,ANR,53,51,RGB,1324
data/raw/ANR/ANR_164.jpg,ANR,55,64,RGB,1331
data/raw/ANR/ANR_71.jpg,ANR,71,71,RGB,1552
data/raw/ANR/ANR_170.jpg,ANR,94,127,RGB,2197
data/raw/ANR/ANR_6.jpg,ANR,28,38,RGB,900
data/raw/ANR/ANR_16.jpg,ANR,23,27,RGB,852
data/raw/ANR/ANR_117.jpg,ANR,21,28,RGB,806
data/raw/ANR/ANR_103.jpg,ANR,28,50,RGB,972
data/raw/ANR/ANR_329.jpg,ANR,149,159,RGB,2231
data/raw/ANR/ANR_315.jpg,ANR,131,177,RGB,2422
data/raw/ANR/ANR_301.jpg,ANR,47,63,RGB,1078
data/raw/ANR/ANR_467.jpg,ANR,66,112,RGB,1437
data/raw/ANR/ANR_249.jpg,ANR,26,39,RGB,834
data/raw/ANR/ANR_261.jpg,ANR,33,49,RGB,954
data/raw/ANR/ANR_275.jpg,ANR,37,39,RGB,866
data/raw/ANR/ANR_274.jpg,ANR,38,34,RGB,865
data/raw/ANR/ANR_260.jpg,ANR,39,49,RGB,1017
data/raw/ANR/ANR_248.jpg,ANR,27,37,RGB,858
data/raw/ANR/ANR_300.jpg,ANR,46,56,RGB,1036
data/raw/ANR/ANR_466.jpg,ANR,55,70,RGB,1189
